tokenizer,repr,model,prep_sec,feat_sec,train_sec,acc,f1,roc_auc,pr_auc,test_pred_sec,cov_train,cov_test,total_sec,n_texts,tokenize_mean_sec,feature_mean_sec,predict_mean_sec,total_infer_mean_sec,total_infer_median_sec,total_infer_min_sec,total_infer_max_sec,total_infer_p95_sec,text_length_mean,token_count_mean
ckip,fasttext_mean,svm_rbf,204.05894080002327,3.43271880003158,0.18810089997714385,0.7003610108303249,0.7700831024930748,0.9036037491919846,0.9754053006336635,0.029078799998387694,1.0,1.0,207.70883930003038,277,0.1542891436820333,0.0008420803850050456,0.0014919404339837638,0.1566231645010221,0.05457763335046669,0.019096000023030985,1.384471966671602,0.6133008399939475,216.59205776173286,124.62093862815884
jieba,tfidf,lr,1.5789990000193939,0.445531299978029,0.0032986000296659768,0.8014440433212996,0.8628428927680798,0.9017453135100194,0.9752894159201022,0.0004637999809347093,,,2.0282927000080235,277,0.002117302286885253,0.0008569338157068081,0.00037443345408689425,0.003348669556678955,0.0019326000280367832,0.0007822333330598971,0.021139733338107664,0.010911593341734256,216.59205776173286,122.86281588447653
jieba,w2v_mean,svm_rbf,1.5789990000193939,1.5107961000176147,0.20445630000904202,0.7472924187725631,0.8138297872340425,0.89968487394958,0.9752254473435253,0.0354947000159882,0.9346451336263175,0.898994575578728,3.3297461000620387,277,0.0018965825512747495,0.0004008138377474964,0.0011657101084521907,0.0034631064974744363,0.0018669666800027092,0.0008802333613857627,0.018725833292895306,0.011553320009261356,216.59205776173286,122.86281588447653
ckip,tfidf_svd300,xgb,204.05894080002327,0.7109735999838449,2.0576266000280157,0.851985559566787,0.9086859688195991,0.898109243697479,0.975031620451688,0.00434109999332577,,,206.83188210002845,277,0.15954246197403527,0.0024833273159106917,0.0018578323704570479,0.163883621660403,0.06611249999453624,0.025177999981679022,1.3603779666203384,0.6233452399804567,216.59205776173286,124.62093862815884
ckip,fasttext_mean,mlp,204.05894080002327,3.43271880003158,0.11980530002620071,0.855595667870036,0.9126637554585153,0.9006948933419522,0.9746408608384116,0.0018125000060535967,1.0,1.0,207.6132774000871,277,0.15340182250231127,0.0008592548747642232,0.0011217440437176964,0.15538282142079318,0.05151719995774329,0.017933233330647152,1.3906788666499779,0.613935206644237,216.59205776173286,124.62093862815884
ckip,w2v_mean,svm_rbf,204.05894080002327,1.2798155000200495,0.19438800000352785,0.7364620938628159,0.8053333333333333,0.8992404654169361,0.9744846781675681,0.03079510002862662,0.9535893295559206,0.9193069687615192,205.56393940007547,277,0.15432403754521662,0.0004837614897118542,0.0014881687119735402,0.156295967746902,0.05258163330533231,0.019288800035913784,1.3713847333177303,0.618317546652785,216.59205776173286,124.62093862815884
ckip,w2v_mean,svm_poly,204.05894080002327,1.2798155000200495,0.1419778999988921,0.7220216606498195,0.7913279132791328,0.898109243697479,0.9742948190288558,0.011337000003550202,0.9535893295559206,0.9193069687615192,205.49207120004576,277,0.15404432057753256,0.0004853512624600313,0.0013893310458480048,0.15591900288584057,0.05257033337450897,0.018199999971936148,1.3716954333746496,0.6199281066850137,216.59205776173286,124.62093862815884
ckip,fasttext_mean,lr,204.05894080002327,3.43271880003158,0.033526899991557,0.7653429602888087,0.8311688311688312,0.9008564964447318,0.9742889082917439,0.0012618000037036836,1.0,1.0,207.5264483000501,277,0.1600596501804226,0.0008485884471234969,0.0011082682305376497,0.16201650685808372,0.058624366705771536,0.02508476667571813,1.3864524333233323,0.6161579733287604,216.59205776173286,124.62093862815884
ckip,w2v_mean,lr,204.05894080002327,1.2798155000200495,0.048456799995619804,0.776173285198556,0.8426395939086294,0.8998868778280543,0.9742572793421015,0.0014073000056669116,0.9535893295559206,0.9193069687615192,205.3886204000446,277,0.1594844515038661,0.0004974663068896785,0.0011364586041790851,0.16111837641493487,0.06017783332693701,0.02491073333658278,1.3663954666699283,0.6161128133380164,216.59205776173286,124.62093862815884
ckip,tfidf,lr,204.05894080002327,0.2643247999949381,0.003503300016745925,0.8122743682310469,0.8706467661691543,0.8977860374919199,0.9739887500667652,0.0003887999919243157,,,204.32715770002687,277,0.15767052719655594,0.0010018590846122494,0.0004229860401445625,0.15909537232131277,0.05773056669083113,0.02430290003151943,1.3424816666908252,0.606333013344556,216.59205776173286,124.62093862815884
jieba,tfidf_svd300,xgb,1.5789990000193939,0.890081099991221,2.340400699991733,0.8411552346570397,0.9004524886877828,0.8970588235294119,0.9737897048448709,0.005501700041349977,,,4.814982500043698,277,0.0017488058960450775,0.0020803767756562316,0.001603793142706371,0.00543297581440768,0.00417216665421923,0.0028015333033787706,0.02451856663295378,0.012417846700797474,216.59205776173286,122.86281588447653
ckip,fasttext_mean,svm_poly,204.05894080002327,3.43271880003158,0.13870609999867156,0.6895306859205776,0.7611111111111111,0.8960084033613447,0.9732760733909133,0.011066699982620776,1.0,1.0,207.64143240003614,277,0.15374155523358854,0.0008336720821026279,0.0013869915768491814,0.15596221889254036,0.052726166672073305,0.01789993332931772,1.3711176666547544,0.6137467666684339,216.59205776173286,124.62093862815884
ckip,w2v_mean,mlp,204.05894080002327,1.2798155000200495,0.17923450004309416,0.8231046931407943,0.8937093275488069,0.8899482870071106,0.9722851823310995,0.002556600025855005,0.9535893295559206,0.9193069687615192,205.52054740011226,277,0.15346848074583253,0.00048594789371616187,0.0011288096263072265,0.15508323826585593,0.05341236665844917,0.017384700030864526,1.3715811999863945,0.6196268000019092,216.59205776173286,124.62093862815884
jieba,w2v_mean,mlp,1.5789990000193939,1.5107961000176147,0.2040434000082314,0.8483754512635379,0.9078947368421053,0.888655462184874,0.9718606886926788,0.0023848999990150332,0.9346451336263175,0.898994575578728,3.296223400044255,277,0.001245063658838444,0.00027658086758730073,0.0006703851983667307,0.002192029724792475,0.0012233000403891008,0.0006014999817125499,0.01563656667713076,0.0073053133091889304,216.59205776173286,122.86281588447653
ckip,tfidf_svd300,rf,204.05894080002327,0.7109735999838449,1.4941944999736734,0.8158844765342961,0.8794326241134752,0.8888170652876536,0.971734971185728,0.21539730002405122,,,206.47950620000483,277,0.15259861131072622,0.002384013356528863,0.22969079410418292,0.38467341877143807,0.28370810001312446,0.23054236668394879,1.5957242333291408,0.8584851800076041,216.59205776173286,124.62093862815884
jieba,w2v_mean,lr,1.5789990000193939,1.5107961000176147,0.048175300005823374,0.7833935018050542,0.8492462311557789,0.8881706528765353,0.9713922567530079,0.0014462999533861876,0.9346451336263175,0.898994575578728,3.139416699996218,277,0.0019705607702901807,0.0004129294812047202,0.0008202955468163281,0.0032037857983112294,0.0014682999656846125,0.0005973666363085309,0.031011766637675464,0.011422699977022902,216.59205776173286,122.86281588447653
jieba,w2v_mean,svm_poly,1.5789990000193939,1.5107961000176147,0.1634627000312321,0.7003610108303249,0.7700831024930748,0.8844537815126051,0.9713732157079985,0.011534499994013458,0.9346451336263175,0.898994575578728,3.264792300062254,277,0.0017805754517515502,0.0003762167261209604,0.0010547498195537476,0.003211541997426258,0.0017541333218105137,0.0007722333539277315,0.016917700025563438,0.010637359976923711,216.59205776173286,122.86281588447653
jieba,fasttext_mean,svm_rbf,1.5789990000193939,3.8169939999934286,0.20992569997906685,0.6895306859205776,0.7597765363128491,0.8850193923723336,0.9713564537906885,0.03465290000895038,1.0,1.0,5.64057160000084,277,0.002088123224532763,0.0008179516244761502,0.0012881610107974616,0.004194235859806375,0.002060533307182292,0.0008230666280724108,0.021710866635354858,0.014875420039364443,216.59205776173286,122.86281588447653
jieba,tfidf_svd300,rf,1.5789990000193939,0.890081099991221,1.9694726999732666,0.7870036101083032,0.854320987654321,0.8862718164188753,0.9709646102606719,0.22976840002229437,,,4.668321200006176,277,0.0015574125150665777,0.0020675393516000552,0.18398650673668604,0.18761145860335268,0.18546373333083466,0.1709441333465899,0.24385323334718123,0.20498167333037903,216.59205776173286,122.86281588447653
ckip,w2v_mean,rf,204.05894080002327,1.2798155000200495,1.4081766000017524,0.8158844765342961,0.8898488120950324,0.8832417582417583,0.9706845162140553,0.23547139996662736,0.9535893295559206,0.9193069687615192,206.9824043000117,277,0.1531082831524737,0.0004786616119821741,0.22950167557147302,0.3830886203359289,0.2866166666499339,0.22216616667962322,1.5889300666749477,0.8493722999778884,216.59205776173286,124.62093862815884
ckip,fasttext_mean,xgb,204.05894080002327,3.43271880003158,2.0246885999804363,0.8339350180505415,0.8986784140969163,0.8842921784098254,0.9701419689479269,0.004148599982727319,1.0,1.0,209.520496800018,277,0.16085785535647767,0.0008391102284353302,0.0018136861602266947,0.16351065174513973,0.06034296661770592,0.022964166671348114,1.3849877666410368,0.6280234333593397,216.59205776173286,124.62093862815884
ckip,fasttext_mean,rf,204.05894080002327,3.43271880003158,1.4360415000119247,0.8122743682310469,0.8874458874458875,0.879969295410472,0.9697300001685337,0.2185184999834746,1.0,1.0,209.14621960005024,277,0.15320449302113917,0.0008321606497914631,0.22989506197397885,0.38393171564490947,0.2837343000185986,0.22317006665980443,1.6061313333533083,0.891105426677192,216.59205776173286,124.62093862815884
jieba,w2v_mean,rf,1.5789990000193939,1.5107961000176147,1.757603400037624,0.8231046931407943,0.8955223880597015,0.877666451195863,0.9696952526881886,0.291274200018961,0.9346451336263175,0.898994575578728,5.1386727000935934,277,0.001476609266461708,0.00033633116628217064,0.17532678062599724,0.17713972105874112,0.17434746669217324,0.15578283332676315,0.23705200001131743,0.20186564666607096,216.59205776173286,122.86281588447653
jieba,fasttext_mean,svm_poly,1.5789990000193939,3.8169939999934286,0.1649990999721922,0.6787003610108303,0.7492957746478873,0.8775048480930834,0.968767722579799,0.012905300012789667,1.0,1.0,5.573897399997804,277,0.0018722683503841658,0.0007197380262885409,0.0011521506612301186,0.003744157037902825,0.0020399666973389685,0.0007673666502038637,0.019664733321405947,0.011361113299305241,216.59205776173286,122.86281588447653
jieba,fasttext_mean,lr,1.5789990000193939,3.8169939999934286,0.056353499996475875,0.7581227436823105,0.8295165394402035,0.877666451195863,0.9681793144126521,0.0018472999799996614,1.0,1.0,5.454193799989298,277,0.002153581107219078,0.0008750531891647784,0.0009461865229022194,0.003974820819286076,0.0017587332986295223,0.000634466705378145,0.03469296667026356,0.014239480043761415,216.59205776173286,122.86281588447653
jieba,w2v_mean,xgb,1.5789990000193939,1.5107961000176147,2.234170700015966,0.8231046931407943,0.8937093275488069,0.8723335488041369,0.9681277645322147,0.005686699994839728,0.9346451336263175,0.898994575578728,5.329652500047814,277,0.0019088006031612063,0.0004062576429715557,0.0019350808641815024,0.004250139110314264,0.0029633666466300688,0.0014168000003943841,0.024039066687691957,0.011392466673472268,216.59205776173286,122.86281588447653
jieba,tfidf_svd300,svm_rbf,1.5789990000193939,0.890081099991221,0.324088399996981,0.8303249097472925,0.8993576017130621,0.8825145442792501,0.9677788459036547,0.05142169998725876,,,2.8445901999948546,277,0.002050253308925074,0.002273089410644697,0.0016109801454258865,0.005934322864995657,0.004568766647328933,0.0028439000016078353,0.023551433366568137,0.013525646664978307,216.59205776173286,122.86281588447653
ckip,w2v_mean,xgb,204.05894080002327,1.2798155000200495,2.0281084000016563,0.8303249097472925,0.8962472406181016,0.8665158371040724,0.9660269095184525,0.004349199996795505,0.9535893295559206,0.9193069687615192,207.37121390004177,277,0.16060590336943173,0.0004989687111295948,0.001886701564431733,0.16299157364499303,0.06265053331541519,0.02308630000334233,1.3904436000157148,0.6216037999605759,216.59205776173286,124.62093862815884
jieba,fasttext_mean,mlp,1.5789990000193939,3.8169939999934286,0.18560899997828528,0.8194945848375451,0.8903508771929824,0.8653846153846153,0.9660023567365669,0.002239900000859052,1.0,1.0,5.583841899991967,277,0.0012429968704565882,0.0004751717227104285,0.0006713395902974403,0.002389508183464457,0.0012365667110619445,0.0006158333271741867,0.01876373334865396,0.008207646687515079,216.59205776173286,122.86281588447653
jieba,fasttext_mean,rf,1.5789990000193939,3.8169939999934286,1.6207725999993272,0.8086642599277978,0.886021505376344,0.8605769230769231,0.9655140216556388,0.2632572000147775,1.0,1.0,7.280022800026927,277,0.0014940369423847562,0.0005777577630599466,0.17248090998623766,0.17455270469168238,0.1727568999825356,0.15784369998921952,0.2503530333051458,0.1927305866770136,216.59205776173286,122.86281588447653
ckip,tfidf_svd300,svm_poly,204.05894080002327,0.7109735999838449,0.34981250000419095,0.7906137184115524,0.8830645161290323,0.8459114414996768,0.9599998492263535,0.024011700006667525,,,205.14373860001797,277,0.1527809876052435,0.0024425374236401666,0.0015869081834562024,0.1568104332123399,0.05515003332402557,0.020357866674506415,1.3708425333218959,0.6231165333612197,216.59205776173286,124.62093862815884
jieba,tfidf_svd300,svm_poly,1.5789990000193939,0.890081099991221,0.3745037000044249,0.7906137184115524,0.8830645161290323,0.8600517129928895,0.9585375130000453,0.029334899969398975,,,2.8729186999844387,277,0.0020078734054721032,0.0022719783389606885,0.0014523975925170396,0.00573224933694983,0.004475400007019441,0.0026681666495278478,0.02551093330839649,0.012589960009790957,216.59205776173286,122.86281588447653
jieba,fasttext_mean,xgb,1.5789990000193939,3.8169939999934286,2.2204455999890342,0.8122743682310469,0.8859649122807017,0.8313671622495151,0.9566427133257477,0.00503000000026077,1.0,1.0,7.6214686000021175,277,0.001941965584151187,0.0007633543915141073,0.001931132371248801,0.004636452346914095,0.0030161667188319066,0.0010915666352957487,0.02894343329050268,0.013479499996174127,216.59205776173286,122.86281588447653
ckip,tfidf_svd300,svm_rbf,204.05894080002327,0.7109735999838449,0.32413740002084523,0.8303249097472925,0.8980477223427332,0.8539107950872658,0.9481717206400142,0.051401900011114776,,,205.14545370003907,277,0.15260230336844288,0.002436570517444775,0.0016757622144042675,0.15671463610029196,0.05468986666528508,0.02073036669753492,1.3541697333178793,0.6184775533503851,216.59205776173286,124.62093862815884
ckip,tfidf_svd300,mlp,204.05894080002327,0.7109735999838449,0.27514240000164136,0.8267148014440433,0.8951965065502183,0.7861182934712347,0.908437659256223,0.002417399955447763,,,205.0474741999642,277,0.15246915391084,0.0023935037299712717,0.0010871312876734054,0.15594978892848468,0.053222833356509604,0.019201733346562833,1.3685804000124335,0.6186190933415976,216.59205776173286,124.62093862815884
jieba,tfidf_svd300,mlp,1.5789990000193939,0.890081099991221,0.25729919999139383,0.8339350180505415,0.9004329004329005,0.7802197802197802,0.9053284056332846,0.003364900010637939,,,2.7297442000126466,277,0.0012695593262796213,0.0017020259941109962,0.0007139647418182572,0.0036855500622088744,0.0027905333360346654,0.0018952666626622279,0.016457633309376735,0.008451640004447347,216.59205776173286,122.86281588447653
